Pos.;Jugador;Nacionalidad;Total;Per¡odo de Actividad
1§;Francisco Vald‚s;Chile;215;1961-1982
2§;Pedro Gonz lez;Chile;213;1985-2006
3§;Esteban Paredes;Chile;203;2000-
4§;Honorino Landa;Chile;193;1959-1973
5§;Oscar Fabbiani;Argentina;188;1972-1992
5§;Marcelo Corrales;Chile;188;1990-2007
7§;Carlos Campos;Chile;183;1956-1969
8§;Jaime Riveros;Chile;175;1990-2011
9§;Atilio Cremaschi;Chile;174;1941-1960
10§;Carlos Caszely;Chile;171;1967-1986
10§;Jos‚ Fern ndez;Chile;171;1947-1961
12§;Luis Hern n µlvarez;Chile;168;1958-1969
13§;Juan Soto;Chile;166;1957-1969
14§;Leonel S nchez;Chile;161;1953-1970
15§;An¡bal Gonz lez;Chile;156;1985-2002
16§;Julio Crisosto;Chile;154;1969-1983
17§;Enrique Hormaz bal;Chile;149;1948-1965
18§;Miguel µngel Neira;Chile;146;1971-1990
18§;Rub‚n Mart¡nez;Chile;146;1981-2000
20§;Ren‚ Mel‚ndez;Chile;144;1948-1962
21§;Jos‚ Luis D¡az;Argentina;140;1994-2012
22§;Guillermo Y var;Chile;139;1961-1981
23§;Gabriel Vargas;Chile;136;2000-
23§;Felipe Bracamonte;Argentina;136;1963-1970
25§;Alfonso Dom¡nguez;Chile;135;1937-1947
25§;Osvaldo Castro;Chile;135;1965-1984
27§;Jorge Spedaletti;Argentina;134;1969-1982
28§;Roberto Coll;Argentina;133;1953-1968
29§;Diego Rivarola;Argentina;132;1997-2011
29§;Armando Tobar;Chile;132;1956-1970
29§;Eladio Z rate;Paraguay;132;1962-1973
32§;Manuel Villalobos;Chile;131;1997-
33§;Carlos Gustavo De Luca;Argentina;128;1980-1996
34§;Daniel Escudero;Chile;123;1959-1973
34§;Juvenal Vargas;Chile;123;1973-1992
34§;C‚sar D¡az;Chile;123;1994-2011
37§;Jos‚ Luis Sierra;Chile;122;1988-2009
38§;Gustavo Canales;Chile;121;2000-2017
39§;Manuel Mu¤oz;Chile;120;1949-1958
39§;Rodrigo Barrera;Chile;120;1988-2006
41§;Elson Beyruth;Brasil;119;1959-1975
41§;Juan Quiroga;Chile;119;1992-2008
41§;Sergio Gioino;Argentina;119;1997-2009
44§;V¡ctor Estay;Chile;116;1970-1985
44§;Sergio Messen;Chile;116;1967-1981
46§;Leonardo Monje;Chile;114;2002-2017
47§;Manuel Neira;Chile;113;1994-2012
48§;Roberto Gutierrez;Chile;112;2004-
48§;Juan Carlos Letelier;Chile;112;1977-1995
49§;Cristi n Can¡o;Chile;111;2002-
50§;Patricio Galaz;Chile;109;1996-2010
51§;H‚ctor Tapia;Chile;107;1994-2009
52§;Raimundo Infante;Chile;105;1948-1958
53§;Juan Z rate;Argentina;104;1940-1950
53§;Juan Carlos Orellana;Chile;104;1973-1985
53§;Renato Ramos;Chile;104;2001-2016
54§;Rub‚n Marcos;Chile;102;1961-1974
55§;Jorge Robledo;Chile;101;1946-1960
55§;V¡ctor Zelada;Chile;101;1963-1977
55§;Sergio Salgado;Chile;101;1976-1997
56§;Alberto Fouillioux;Chile;100;1957-1975
56§;Arturo J uregui;Chile;100;1975-1992
56§;Ever Cantero;Paraguay;100;2006-
